#,Make,MakeId,Model,ModelId,Horsepower,Gas,Drive,Edition,Description,Price,Picture,Link
24,Mercedes-Benz,51,A180,1623,136 PS,Benzin,Automatisch,A180 Night Star,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 718.- pro Monat im Auto-Abo,auto-24-mercedes-benz-a180.png,https://abo-app.autoscout24.ch/details/1615886199090x823318615065362400?runtimeOption=12%20Monate&packageOption=850%20km
28,Suzuki,75,Vitara,524,129 PS,Hybrid,Schaltgetriebe,1.4 T Generation Hybrid 4x4,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 898.- pro Monat im Auto-Abo,auto-28-suzuki-vitara.png,https://abo-app.autoscout24.ch/details/1593088899652x660161131458840000?runtimeOption=12%20Monate&packageOption=1500%20km
29,Fiat,26,500e,,118 PS,Elektrisch,Automatisch,Icon,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 799.- pro Monat im Auto-Abo,auto-29-fiat-500e.png,https://abo-app.autoscout24.ch/details/1608723917861x971596041929621500?runtimeOption=12%20Monate&packageOption=850%20km
33,Fiat,26,124 Spider,920,125 PS,Benzin,Schaltgetriebe,Abarth,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 899.- pro Monat im Auto-Abo,auto-33-fiat-124spider.png,https://abo-app.autoscout24.ch/details/1601454504727x605668922596400500?runtimeOption=12%20Monate&packageOption=850%20km
36,Suzuki,75,SX4,528,129 PS,Hybrid,Schaltgetriebe,S-Cross 1.4 T Generation Hybrid 4x4,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 998.- pro Monat im Auto-Abo,auto-36-suzuki-sx4.png,https://abo-app.autoscout24.ch/details/1593089106725x537344320764395800?runtimeOption=12%20Monate&packageOption=1500%20km
37,Mazda,50,3,317,122 PS,Benzin,Automatisch,Hatchback 2.0 122 Revolution,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'048.- pro Monat im Auto-Abo,auto-37-mazda-3.png,https://abo-app.autoscout24.ch/details/1593089570469x409642642015863400?runtimeOption=12%20Monate&packageOption=1500%20km
39,Alfa Romeo,2,Stelvio,2385,280 PS,Benzin,Automatisch,2.0 MA 280 AT Q4,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'199.- pro Monat im Auto-Abo,auto-39-alfa-romeo-stelvio.png,https://abo-app.autoscout24.ch/details/1596780930815x748826865293312800?runtimeOption=12%20Monate&packageOption=850%20km
40,Mazda,50,CX-30,3048,179 PS,Benzin,Automatisch,2.0 180 Revolution AWD,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'238.- pro Monat im Auto-Abo,auto-40-mazda-cx30.png,https://abo-app.autoscout24.ch/details/1593089908091x948923785940786200?runtimeOption=12%20Monate&packageOption=1500%20km
41,VW,82,ID.4,3192,204 PS,Benzin,Schaltgetriebe,Pro Performance,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 947.- pro Monat im Auto-Abo,auto-41-vw-id4.png,https://abo-app.autoscout24.ch/details/1608042456196x732635910152650800?runtimeOption=12%20Monate&packageOption=850%20km
42,Alfa Romeo,2,Giulia,884,280 PS,Benzin,Automatisch,2.0 MA 280 AT Q4 Veloce,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'299.- pro Monat im Auto-Abo,auto-42-alfa-romeo-giulia.png,https://abo-app.autoscout24.ch/details/1596780367328x366705069723156000?runtimeOption=3%20Monate&packageOption=850%20km
43,Jeep,39,Grand Cherokee,1736,250 PS,Diesel,Automatisch,3.0 CRD 250 AWD Overland,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'299.- pro Monat im Auto-Abo,auto-43-jeep-grand-cherokee.png,https://abo-app.autoscout24.ch/details/1598506642324x337860595652084350?runtimeOption=12%20Monate&packageOption=850%20km
44,Mazda,50,CX-5,1765,194 PS,Benzin,Automatisch,2.5 Revolution AWD,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'498.- pro Monat im Auto-Abo,auto-44-mazda-cx5.png,https://abo-app.autoscout24.ch/details/1593090122430x525251108103389500?runtimeOption=12%20Monate&packageOption=1500%20km
45,Mazda,50,6,322,194 PS,Benzin,Automatisch,Sport Wagon 2.5 Revolution,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'548.- pro Monat im Auto-Abo,auto-45-mazda-6.png,https://abo-app.autoscout24.ch/details/1593090244692x432686745180350460?runtimeOption=12%20Monate&packageOption=1500%20km
47,Alfa Romeo,2,4C Spider,1979,240 PS,Benzin,Automatisch,1.8 Tbi 240 TCT,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 1'899.- pro Monat im Auto-Abo,auto-47-alfa-romeo-4c-spider.png,https://abo-app.autoscout24.ch/details/1598506882418x334423903874352400?runtimeOption=12%20Monate&packageOption=850%20km
